table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
SF1,196290,A,Agilent Technologies Inc,NYSE,N,Domestic Common Stock,00846U101,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,Healthcare,Diagnostics & Research,5 - Large,5 - Large,,USD,California; U.S.A,2020-09-01,2014-09-26,1999-11-18,2020-11-04,1997-06-30,2020-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001090872,http://www.agilent.com
SF1,124392,AA,Alcoa Corp,NYSE,N,Domestic Common Stock,013872106,3334,Manufacturing,Primary Production Of Aluminum,,Steel Works Etc,Basic Materials,Aluminum,4 - Mid,5 - Large,,USD,Pennsylvania; U.S.A,2020-10-30,2016-11-01,2016-11-01,2020-11-04,2014-12-31,2020-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001675149,http://www.alcoa.com
SF1,122827,AAAB,Admiralty Bancorp Inc,NASDAQ,Y,Domestic Common Stock,007231103,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,Financial Services,Banks - Regional,2 - Micro,1 - Nano,AAABB,USD,Florida; U.S.A,2019-07-29,2017-09-09,1998-09-25,2003-01-28,1997-09-30,2002-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001066808,
SF1,120538,AAAGY,Altana Aktiengesellschaft,NYSE,Y,ADR Common Stock,02143N103,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,4 - Mid,,EUR,Jordan,2019-05-17,2018-02-13,2002-05-22,2010-08-12,2000-12-31,2005-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001182802,
SF1,155760,AAAP,Advanced Accelerator Applications SA,NASDAQ,Y,ADR Common Stock,00790T100,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,Healthcare,Biotechnology,4 - Mid,2 - Micro,,EUR,France,2020-10-08,2016-05-19,2015-11-11,2018-02-09,2012-12-31,2017-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001611787,
SF1,165444,AABC,Access Anytime Bancorp Inc,NASDAQ,Y,Domestic Common Stock,00431F105,6035,Finance Insurance And Real Estate,Savings Institution Federally Chartered,,Banking,Financial Services,Banks - Regional,1 - Nano,1 - Nano,,USD,New Mexico; U.S.A,2019-03-04,2016-02-17,1986-09-15,2006-01-03,1996-12-31,2005-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001024015,
SF1,119789,AAC1,Arcadia Financial Ltd,NYSE,Y,Domestic Common Stock,039101100 681593109 681593208,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,Financial Services,Asset Management,3 - Small,2 - Micro,AAC,USD,Minnesota; U.S.A,2019-09-19,2018-04-16,1992-01-30,2000-04-03,1996-12-31,2000-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000879674,
SF1,120720,AACB,Alliance Atlantis Communications Inc,NASDAQ,Y,Canadian Common Stock,01853E204,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,Consumer Cyclical,Entertainment,3 - Small,3 - Small,,CAD,Ontario; Canada,2019-06-06,2018-01-30,1996-02-13,2007-08-15,2003-03-31,2005-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001005887,
SF1,195323,AACC,Asset Acceptance Capital Corp,NASDAQ,Y,Domestic Common Stock,04543P100,6153,Finance Insurance And Real Estate,Short-Term Business Credit Institutions,,Banking,Financial Services,Asset Management,3 - Small,2 - Micro,,USD,Michigan; U.S.A,2019-11-17,2015-06-08,2004-02-05,2013-06-13,2002-12-31,2013-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001264707,
SF1,178353,AACE,Ace Cash Express Inc,NASDAQ,Y,Domestic Common Stock,004403101,6099,Finance Insurance And Real Estate,Functions Related To Depository Banking Nec,,Banking,Technology,Software - Infrastructure,3 - Small,3 - Small,,USD,Texas; U.S.A,2019-06-24,2015-07-03,1992-12-02,2006-10-05,1996-12-31,2006-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000849116,
SF1,189031,AACG,ATA Creativity Global,NASDAQ,N,ADR Common Stock,00211V106,8200,Services,Services-Educational Services,,Personal Services,Consumer Defensive,Education & Training Services,2 - Micro,2 - Micro,ATAI,CNY,China,2020-04-28,2016-02-02,2008-01-29,2020-11-04,2006-03-31,2019-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001420529,http://www.atai.net.cn
SF1,187592,AACH,AAC Holdings Inc,OTC,N,Domestic Common Stock,000307108,8093,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,Healthcare,Medical Care,3 - Small,3 - Small,AAC,USD,Tennessee; U.S.A,2020-04-15,2015-09-11,2014-10-02,2020-11-04,2013-09-30,2019-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001606180,
SF1,190934,AACPF,Australia Acquisition Corp,NASDAQ,Y,ADR Common Stock,G06368123 G06368107,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,2 - Micro,,AAC AACOU AACOW,USD,Australia,2018-10-15,2016-02-01,2010-12-20,2012-11-19,2011-06-30,2012-06-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001499593,
SF1,631654,AACQ,Artius Acquisition Inc,NASDAQ,N,Domestic Common Stock Primary Class,04316G204 04316G105,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,Industrials,Shell Companies,3 - Small,,AACQU AACQW,USD,New York; U.S.A,2020-11-03,2020-07-14,2020-07-14,2020-11-04,2020-03-31,2020-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001802457,
