Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2019-07-25,10.630000114440918,147.75999450683594,97.11000061035156,38.72654724121094,9.800000190734863,292.9557800292969,3,0.2,0.2,0.2,0.2,0.2,188.0,14.0,21.0,52.0,204.0,10000.0,9960.496520996094
2019-07-26,10.649999618530273,149.9499969482422,102.19999694824219,38.09086608886719,9.800000190734863,294.9185485839844,4,0.2,0.2,0.2,0.2,0.2,188.0,14.0,21.0,52.0,204.0,10227.624897003174,10027.230651855469
2019-07-29,10.319999694824219,141.5,96.47000122070312,39.66019821166992,9.800000190734863,294.3814697265625,0,0.2,0.2,0.2,0.2,0.2,188.0,14.0,21.0,52.0,204.0,10008.560314178467,10008.969970703125
2019-07-30,10.15999984741211,140.0,95.48999786376953,39.143707275390625,9.800000190734863,293.65887451171875,1,0.2,0.2,0.2,0.2,0.2,195.0,14.0,21.0,51.0,202.0,9910.042743682861,9984.401733398438
2019-07-31,10.449999809265137,139.11000061035156,95.51000213623047,38.55769348144531,9.800000190734863,290.4461364746094,2,0.2,0.2,0.2,0.2,0.2,195.0,14.0,21.0,51.0,202.0,9937.042422294617,9875.168640136719
2019-08-01,10.210000038146973,137.8300018310547,95.0999984741211,41.467899322509766,9.800000190734863,287.91693115234375,3,0.2,0.2,0.2,0.2,0.2,195.0,14.0,21.0,51.0,202.0,10012.132905006409,9789.175659179688
2019-08-02,10.239999771118164,133.6999969482422,93.66000366210938,36.541412353515625,9.800000190734863,285.74908447265625,4,0.2,0.2,0.2,0.2,0.2,195.0,14.0,21.0,51.0,202.0,9678.672058105469,9715.468872070312
2019-08-05,9.619999885559082,124.5199966430664,89.69000244140625,35.32965087890625,9.800000190734863,277.15570068359375,0,0.2,0.2,0.2,0.2,0.2,195.0,14.0,21.0,51.0,202.0,9284.082215309143,9423.293823242188
2019-08-06,9.220000267028809,125.56999969482422,90.43000030517578,37.25654602050781,9.800000190734863,281.042236328125,1,0.2,0.2,0.2,0.2,0.2,202.0,15.0,21.0,50.0,191.0,9334.593939781189,9555.43603515625
2019-08-07,9.140000343322754,123.9000015258789,92.44999694824219,37.55451965332031,9.760000228881836,281.208251953125,2,0.2,0.2,0.2,0.2,0.2,202.0,15.0,21.0,50.0,191.0,9388.116054534912,9561.08056640625
2019-08-08,8.920000076293945,131.67999267578125,95.7699966430664,39.47148132324219,9.760000228881836,286.7255859375,3,0.2,0.2,0.2,0.2,0.2,202.0,15.0,21.0,50.0,191.0,9625.94394493103,9748.669921875
2019-08-09,8.5600004196167,133.72000122070312,94.19999694824219,37.78296661376953,9.760000228881836,284.77252197265625,4,0.2,0.2,0.2,0.2,0.2,202.0,15.0,21.0,50.0,191.0,9466.428413391113,9682.265747070312
2019-08-12,8.0,131.49000549316406,92.16000366210938,37.40553283691406,9.760000228881836,281.3059387207031,0,0.2,0.2,0.2,0.2,0.2,202.0,15.0,21.0,50.0,191.0,9258.146844863892,9564.401916503906
2019-08-13,4.599999904632568,132.0500030517578,95.44999694824219,37.94188690185547,9.779999732971191,285.6806945800781,1,0.2,0.2,0.2,0.2,0.2,377.0,13.0,18.0,46.0,177.0,8679.474256515503,9713.143615722656
2019-08-14,4.909999847412109,124.75,92.6500015258789,36.80958938598633,9.779999732971191,277.2337951660156,2,0.2,0.2,0.2,0.2,0.2,377.0,13.0,18.0,46.0,177.0,8564.821034431458,9425.949035644531
2019-08-15,4.949999809265137,123.16999816894531,90.63999938964844,36.41229248046875,9.779999732971191,277.9661865234375,3,0.2,0.2,0.2,0.2,0.2,377.0,13.0,18.0,46.0,177.0,8504.90530014038,9450.850341796875
2019-08-16,5.119999885559082,124.76000213623047,92.52999877929688,37.2366828918457,9.779999732971191,282.0675964355469,4,0.2,0.2,0.2,0.2,0.2,377.0,13.0,18.0,46.0,177.0,8661.607328414917,9590.298278808594
