Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,,,,,,
2010-01-05,,,,,,
2010-01-06,,,,,,
2010-01-07,,,,,,
2010-01-08,,,,,,
2010-01-11,,,,,,
2010-01-12,,,,,,
2010-01-13,,,,,,
2010-01-14,,,,,,
2010-01-15,,,,,,
2010-01-19,,,,,,
2010-01-20,,,,,,
2010-01-21,,,,,,
2010-01-22,,,,,,
2010-01-25,,,,,,
2010-01-26,,,,,,
2010-01-27,,,,,,
2010-01-28,,,,,,
2010-01-29,,,,,,
2010-02-01,,,,,,
2010-02-02,,,,,,
2010-02-03,,,,,,
2010-02-04,,,,,,
2010-02-05,,,,,,
2010-02-08,,,,,,
2010-02-09,,,,,,
2010-02-10,,,,,,
2010-02-11,,,,,,
2010-02-12,,,,,,
2010-02-16,,,,,,
2010-02-17,,,,,,
2010-02-18,,,,,,
2010-02-19,,,,,,
2010-02-22,,,,,,
2010-02-23,,,,,,
2010-02-24,,,,,,
2010-02-25,,,,,,
2010-02-26,,,,,,
2010-03-01,,,,,,
2010-03-02,,,,,,
2010-03-03,,,,,,
2010-03-04,,,,,,
2010-03-05,,,,,,
2010-03-08,,,,,,
2010-03-09,,,,,,
2010-03-10,,,,,,
2010-03-11,,,,,,
2010-03-12,,,,,,
2010-03-15,,,,,,
2010-03-16,,,,,,
2010-03-17,,,,,,
2010-03-18,,,,,,
2010-03-19,,,,,,
2010-03-22,,,,,,
2010-03-23,,,,,,
2010-03-24,,,,,,
2010-03-25,,,,,,
2010-03-26,,,,,,
2010-03-29,,,,,,
2010-03-30,113.04799982706706,111.69099998474121,112.40066655476888,112.47233327229817,198289408.33333334,90.83521169026693
2010-03-31,113.11683311462403,111.7759999593099,112.47699979146321,112.53349990844727,198991643.33333334,90.8910649617513
2010-04-01,113.19299977620443,111.84683329264323,112.55266647338867,112.60300000508626,199818898.33333334,90.95368843078613
2010-04-05,113.27383308410644,111.92166659037272,112.63149986267089,112.68716672261556,199648451.66666666,91.02820409138998
2010-04-06,113.35583305358887,112.00683326721192,112.71349983215332,112.76800003051758,199303336.66666666,91.1000441233317
2010-04-07,113.43483301798503,112.07599983215331,112.7953332265218,112.83116671244304,200272895.0,91.15758692423502
2010-04-08,113.49883308410645,112.13199984232584,112.84316647847494,112.89849993387858,201145033.33333334,91.21851526896158
2010-04-09,113.58866640726725,112.22499987284343,112.92733306884766,112.99666659037273,200639583.33333334,91.30437444051107
2010-04-12,113.67383308410645,112.32816645304362,113.02316640218099,113.08199984232584,199780533.33333334,91.37988599141438
2010-04-13,113.75549977620443,112.40449981689453,113.1086664835612,113.16366653442383,199935946.66666666,91.45244331359864
2010-04-14,113.86133321126302,112.5191665649414,113.20099970499675,113.2894999186198,199091378.33333334,91.56072489420573
2010-04-15,113.96866658528646,112.6418332417806,113.32383295694987,113.39333330790201,199182088.33333334,91.65125465393066
2010-04-16,114.08266665140788,112.73799985249838,113.43349965413411,113.48449999491373,201687030.0,91.73145345052083
2010-04-19,114.17700004577637,112.8531665802002,113.51833305358886,113.61966667175292,199571833.33333334,91.8471918741862
2010-04-20,114.3310001373291,113.03283335367838,113.6743330637614,113.81416664123535,196434593.33333334,92.0108809153239
2010-04-21,114.51133346557617,113.20916659037272,113.85333302815755,113.9956667582194,196534136.66666666,92.16406567891438
2010-04-22,114.68966674804688,113.37716662089029,114.0278330485026,114.19083340962727,194937328.33333334,92.32830149332682
2010-04-23,114.88600006103516,113.58216654459635,114.22399978637695,114.39050000508627,193361860.0,92.49621251424153
2010-04-26,115.08383344014486,113.80416653951009,114.41833305358887,114.6034999847412,190484415.0,92.67485987345377
2010-04-27,115.2761666615804,113.98799985249838,114.6118330637614,114.78833338419597,191237343.33333334,92.83061408996582
2010-04-28,115.45300000508627,114.16749979654948,114.79349975585937,114.9603333791097,193117495.0,92.97605985005697
2010-04-29,115.62833340962727,114.35399983723958,114.97416636149089,115.13500010172525,192741613.33333334,93.1237398783366
2010-04-30,115.80383338928223,114.5084997812907,115.15749969482422,115.28466669718425,194362783.33333334,93.25112686157226
2010-05-03,115.99800008138021,114.72149976094563,115.3308329264323,115.51649996439616,191463320.0,93.44492136637369
2010-05-04,116.20050010681152,114.92716636657715,115.53833300272623,115.6974998474121,189242780.0,93.59752769470215
2010-05-05,116.37500012715658,115.09649976094563,115.70199966430664,115.87966651916504,190989551.66666666,93.7510378519694
2010-05-06,116.52250010172526,115.07533315022786,115.85416641235352,115.97499987284343,196148486.66666666,93.8342441558838
2010-05-07,116.62533340454101,115.1303332010905,115.94733301798503,116.04583320617675,202765941.66666666,93.89758173624675
2010-05-10,116.76533342997233,115.27466659545898,116.09633293151856,116.17966664632162,205642075.0,94.0120418548584
2010-05-11,116.9196667989095,115.4146666208903,116.2309996287028,116.30949999491374,205862536.66666666,94.12325541178386
2010-05-12,117.04916687011719,115.55249989827475,116.35483296712239,116.43799997965495,207134030.0,94.2334821065267
2010-05-13,117.17033348083496,115.65499992370606,116.46916631062825,116.53349990844727,208227486.66666666,94.31699244181316
2010-05-14,117.2401668548584,115.7021666208903,116.55316632588705,116.58316650390626,210759033.33333334,94.36339073181152
2010-05-17,117.28933347066244,115.72566655476888,116.6128328959147,116.62999979654948,212476615.0,94.40750528971354
2010-05-18,117.35000012715658,115.74566650390625,116.66833279927572,116.65066642761231,216280113.33333334,94.43041343688965
2010-05-19,117.37616678873698,115.75966657002768,116.68349939982096,116.68316650390625,219400875.0,94.46283772786458
2010-05-20,117.35766677856445,115.71983324686686,116.67083269755045,116.62849985758463,225302001.66666666,94.42467053731282
2010-05-21,117.33483339945475,115.66016654968261,116.61533279418946,116.60249989827474,229323246.66666666,94.4097287495931
2010-05-24,117.30600001017253,115.61849988301596,116.57783279418945,116.55199991861979,230927141.66666666,94.37493413289388
2010-05-25,117.23716672261556,115.5053332010905,116.47633285522461,116.48416659037272,235073733.33333334,94.32615445454915
2010-05-26,117.18266677856445,115.41949984232585,116.4114995320638,116.40033327738443,238219181.66666666,94.26442400614421
2010-05-27,117.14650014241536,115.3654998779297,116.35649960835775,116.37466659545899,240720606.66666666,94.24984270731608
2010-05-28,117.11183344523111,115.31249987284342,116.32633298238119,116.32016665140787,243423325.0,94.21191126505533
2010-06-01,117.03866678873698,115.21699994405111,116.24266624450684,116.20816663106282,245119835.0,94.1274658203125
2010-06-02,116.96900011698405,115.10766665140788,116.13966623942058,116.14250005086264,247213376.66666666,94.08057416280111
2010-06-03,116.90350011189778,115.03616663614909,116.08499959309896,116.08000005086264,248414403.33333334,94.0362595876058
2010-06-04,116.80433349609375,114.90366655985514,115.98666623433431,115.94416669209798,251954183.33333334,93.93253733317057
2010-06-07,116.67316678365071,114.75466664632161,115.86166623433431,115.77816670735677,253684483.33333334,93.80439236958821
